Class,Precision,Recall,F1-score,Support
Benign-like,0.8117647058823529,0.7263157894736842,0.7666666666666667,190
Melanoma-suspicious,0.6415929203539823,0.7512953367875648,0.6921241050119331,193
Other,0.9108910891089109,0.882494004796163,0.8964677222898904,417
